*HANZI	HANZI_SCORE	TIMESTAMP	PINYIN_SCORE	TIMESTAMP	TONE_SCORE	TIMESTAMP	ENGLISH_SCORE	TIMESTAMP*
教室	0.0	0.0	0.0	0.0	0.0	1498636638.0	0.0	0.0
何右走	0.0	0.0	0.0	0.0	-1.0	1498725162.0	0.0	0.0
写	0.0	0.0	0.0	0.0	3.0	1498636158.0	0.0	0.0
谢谢	0.0	0.0	0.0	0.0	-11.0	1498725325.0	0.0	0.0
的	0.0	0.0	0.0	0.0	2.0	1498636300.0	0.0	0.0
音乐	0.0	0.0	0.0	0.0	0.0	1498468199.0	0.0	0.0
那	0.0	0.0	0.0	0.0	-2.0	1498725231.0	0.0	0.0
红绿灯	0.0	0.0	0.0	0.0	0.0	1498726080.0	0.0	0.0
大	0.0	0.0	0.0	0.0	3.0	1498635989.0	0.0	0.0
奶奶	0.0	0.0	0.0	0.0	0.0	1498725185.0	0.0	0.0
小	0.0	0.0	0.0	0.0	4.0	1498636313.0	0.0	0.0
加拿大	0.0	0.0	0.0	0.0	4.0	1498636668.0	0.0	0.0
妈妈	0.0	0.0	0.0	0.0	4.0	1498577815.0	0.0	0.0
何左走	0.0	0.0	0.0	0.0	2.0	1498726099.0	0.0	0.0
怎么样	0.0	0.0	0.0	0.0	2.0	1498468344.0	0.0	0.0
在	0.0	0.0	0.0	0.0	4.0	1498468082.0	0.0	0.0
二	0.0	0.0	0.0	0.0	5.0	1498725304.0	0.0	0.0
﻿爱	0.0	0.0	0.0	0.0	1.0	1498407255.0	0.0	0.0
九	0.0	0.0	0.0	0.0	3.0	1498468207.0	0.0	0.0
好	0.0	0.0	0.0	0.0	4.0	1498467780.0	0.0	0.0
朋友	0.0	0.0	0.0	0.0	5.0	1498725529.0	0.0	0.0
出租车	0.0	0.0	0.0	0.0	1.0	1498423775.0	0.0	0.0
很	0.0	0.0	0.0	0.0	4.0	1498725379.0	0.0	0.0
五	0.0	0.0	0.0	0.0	3.0	1498423777.0	0.0	0.0
大巴	0.0	0.0	0.0	0.0	-1.0	1498724956.0	0.0	0.0
认识	0.0	0.0	0.0	0.0	0.0	1498577594.0	0.0	0.0
人	0.0	0.0	0.0	0.0	2.0	1498420155.0	0.0	0.0
哪儿	0.0	0.0	0.0	0.0	3.0	1498577703.0	0.0	0.0
复习	0.0	0.0	0.0	0.0	0.0	1498725429.0	0.0	0.0
